date,borough,ZCTA,mobility
1/4/2020,Manhattan,10001,1.045315536
1/4/2020,Manhattan,10002,0.299958381
1/4/2020,Manhattan,10003,-0.604450668
1/4/2020,Manhattan,10004,1.023257872
1/4/2020,Manhattan,10005,0.52103354
1/4/2020,Manhattan,10006,1.03767279
1/4/2020,Manhattan,10007,-0.274589851
1/4/2020,Manhattan,10009,0.159656203
1/4/2020,Manhattan,10010,0.555423636
1/4/2020,Manhattan,10011,-0.187353808
1/4/2020,Manhattan,10012,0.462091673
1/4/2020,Manhattan,10013,1.18037558
1/4/2020,Manhattan,10014,0.020219522
1/4/2020,Manhattan,10016,0.373528764
1/4/2020,Manhattan,10018,0.070566042
1/4/2020,Manhattan,10019,1.028298838
1/4/2020,Manhattan,10021,1.312491757
1/4/2020,Manhattan,10022,-0.392918705
1/4/2020,Manhattan,10023,1.073128814
1/4/2020,Manhattan,10024,1.390986581
1/4/2020,Manhattan,10025,0.638162881
1/4/2020,Manhattan,10026,0.090730203
1/4/2020,Manhattan,10027,-1.444727898
1/4/2020,Manhattan,10028,1.344039849
1/4/2020,Manhattan,10029,0.627246321
1/4/2020,Manhattan,10030,-0.220373523
1/4/2020,Manhattan,10031,-0.900884638
1/4/2020,Manhattan,10032,-0.277285265
1/4/2020,Manhattan,10033,-0.175379244
1/4/2020,Manhattan,10034,-1.497905389
1/4/2020,Manhattan,10035,0.36643684
1/4/2020,Manhattan,10036,1.065033124
1/4/2020,Manhattan,10037,-0.148028777
1/4/2020,Manhattan,10038,0.437485082
1/4/2020,Manhattan,10039,0.190592784
1/4/2020,Manhattan,10040,1.461440217
1/4/2020,Manhattan,10044,-0.797660279
1/4/2020,Manhattan,10065,-0.938274111
1/4/2020,Manhattan,10075,1.039367216
1/4/2020,Manhattan,10128,0.254646714
1/4/2020,Bronx,10451,0.018501055
1/4/2020,Bronx,10452,0.007953388
1/4/2020,Bronx,10453,0.04399154
1/4/2020,Bronx,10454,0.49717982
1/4/2020,Bronx,10455,0.081077976
1/4/2020,Bronx,10457,0.114277044
1/4/2020,Bronx,10458,-0.654580432
1/4/2020,Bronx,10459,0.644100148
1/4/2020,Bronx,10460,0.164169649
1/4/2020,Bronx,10461,0.359767308
1/4/2020,Bronx,10462,0.508607346
1/4/2020,Bronx,10463,0.895738865
1/4/2020,Bronx,10466,0.586353073
1/4/2020,Bronx,10467,0.387220701
1/4/2020,Bronx,10468,-0.874857684
1/4/2020,Bronx,10469,0.988548562
1/4/2020,Bronx,10470,0.298747734
1/4/2020,Bronx,10471,0.254357078
1/4/2020,Bronx,10472,-0.088704483
1/4/2020,Bronx,10473,-0.197296892
1/4/2020,Bronx,10475,0.313226697
1/4/2020,Queens,11101,0.877645391
1/4/2020,Queens,11103,0.469808156
1/4/2020,Queens,11104,-0.654990034
1/4/2020,Queens,11106,0.233883894
1/4/2020,Brooklyn,11201,-0.001483778
1/4/2020,Brooklyn,11203,0.100551197
1/4/2020,Brooklyn,11204,0.834039724
1/4/2020,Brooklyn,11205,0.101766457
1/4/2020,Brooklyn,11206,0.061668581
1/4/2020,Brooklyn,11207,0.24861909
1/4/2020,Brooklyn,11208,-0.20811146
1/4/2020,Brooklyn,11209,0.435416095
1/4/2020,Brooklyn,11210,-0.679245906
1/4/2020,Brooklyn,11211,-0.220846032
1/4/2020,Brooklyn,11212,0.327049171
1/4/2020,Brooklyn,11213,-0.030171661
1/4/2020,Brooklyn,11214,0.613071041
1/4/2020,Brooklyn,11215,0.481352939
1/4/2020,Brooklyn,11216,-0.310077007
1/4/2020,Brooklyn,11217,0.056392047
1/4/2020,Brooklyn,11218,-0.389262148
1/4/2020,Brooklyn,11219,0.700165407
1/4/2020,Brooklyn,11220,-0.959200079
1/4/2020,Brooklyn,11221,-1.071572219
1/4/2020,Brooklyn,11222,-0.604061785
1/4/2020,Brooklyn,11223,0.168374453
1/4/2020,Brooklyn,11224,-0.006059385
1/4/2020,Brooklyn,11225,-0.220223009
1/4/2020,Brooklyn,11226,0.728652398
1/4/2020,Brooklyn,11228,0.675271822
1/4/2020,Brooklyn,11229,0.769690761
1/4/2020,Brooklyn,11230,0.507654815
1/4/2020,Brooklyn,11231,0.533281473
1/4/2020,Brooklyn,11232,0.35752547
