borough,ZCTA,cumincidence,mobility_April_11,median_income,gt_75_yrs,all_essential,health_essential,nonhealth_essential,nonwhite_Hispanic,uninsured,le_highschool,rate_positive,percent_positive_over_tests,rate_tests
Manhattan,10001,375,-29.33179197,62349,0.078825685,0.104,0.049860724,0.158499825,0.468591869,0.043098936,0.161490141,0.016358402,0.440658049,0.037122666
Manhattan,10002,978,-34.48675117,20295,0.107996746,0.117718886,0.028032924,0.209395196,0.780352833,0.059233496,0.423172829,0.013041217,0.498470948,0.026162442
Manhattan,10003,487,-29.80615546,68414,0.054734648,0.086162488,0.044020498,0.128751482,0.295545152,0.039065078,0.068852639,0.008906039,0.407872697,0.021835339
Manhattan,10004,36,-21.42538382,105452,0.02014531,0.081139821,0.039017341,0.123486683,0.394319683,0.049207398,0.027410832,0.011889036,0.413793103,0.028731836
Manhattan,10005,59,-19.03801747,95137,0.003170649,0.069024445,0.03667554,0.101687323,0.305627902,0.026837278,0.039293398,0.00668101,0.324175824,0.020609218
Manhattan,10006,22,-20.62130905,99718,0,0.085807317,0.060068002,0.112276612,0.367979155,0.020845397,0.012449334,0.006369427,0.285714286,0.022292994
Manhattan,10007,50,-13.31064793,107138,0.010821586,0.079071597,0.041437189,0.116706006,0.280079738,0.006523469,0.109354977,0.007119465,0.268817204,0.026484408
Manhattan,10009,660,-17.7694122,44302,0.060492016,0.106983772,0.044863601,0.170322335,0.487665084,0.056075573,0.202779456,0.011394044,0.410958904,0.027725507
Manhattan,10010,277,-27.56549457,78566,0.054224726,0.104397873,0.085962528,0.122855615,0.360509932,0.035648286,0.094011266,0.008212274,0.332134293,0.024725763
Manhattan,10011,563,-23.93972571,83012,0.071247424,0.081386609,0.028410614,0.135385363,0.285247266,0.037075385,0.085374069,0.0111547,0.444006309,0.02512284
Manhattan,10012,166,-33.66107101,73118,0.047242749,0.090190736,0.032122526,0.148863325,0.302379223,0.05079677,0.093844774,0.007090684,0.356223176,0.019905173
Manhattan,10013,245,-25.64932576,51061,0.076770351,0.109048724,0.030026775,0.189821452,0.476052806,0.05057003,0.219269219,0.008533909,0.388272583,0.02197917
Manhattan,10014,307,-26.57749057,83793,0.060966881,0.088005678,0.035326219,0.141164323,0.161070987,0.035104302,0.054622942,0.009987637,0.420547945,0.023749105
