date,borough,incidence,cumincidence,rate_positive,percent_positive_over_tests,rate_tests
3/2/2020,Queens,0,0,0,NA,0
3/2/2020,New York,0,0,0,NA,0
3/2/2020,Kings,0,0,0,NA,0
3/2/2020,Bronx,0,0,0,NA,0
3/3/2020,Queens,0,0,0,0,8.70E-07
3/3/2020,New York,0,0,0,0,1.84E-06
3/3/2020,Kings,0,0,0,0,7.69E-07
3/3/2020,Bronx,0,0,0,0,6.95E-07
3/4/2020,Queens,0,0,0,NA,0
3/4/2020,New York,1,1,6.13E-07,0.25,2.45E-06
3/4/2020,Kings,1,1,3.85E-07,0.25,1.54E-06
3/4/2020,Bronx,0,0,0,NA,0
3/5/2020,Queens,1,1,4.35E-07,0.166666667,2.61E-06
3/5/2020,New York,1,2,6.13E-07,0.055555556,1.10E-05
3/5/2020,Kings,0,1,0,0,2.69E-06
3/5/2020,Bronx,0,0,0,0,3.48E-06
3/6/2020,Queens,1,2,4.35E-07,0.1,4.35E-06
3/6/2020,New York,3,5,1.84E-06,0.214285714,8.58E-06
3/6/2020,Kings,3,4,1.15E-06,0.25,4.61E-06
3/6/2020,Bronx,0,0,0,0,4.17E-06
3/7/2020,Queens,0,2,0,0,6.09E-06
3/7/2020,New York,0,5,0,0,1.35E-05
3/7/2020,Kings,0,4,0,0,3.46E-06
3/7/2020,Bronx,0,0,0,0,1.18E-05
3/8/2020,Queens,1,3,4.35E-07,0.076923077,5.66E-06
3/8/2020,New York,0,5,0,0,1.47E-05
3/8/2020,Kings,2,6,7.69E-07,0.2,3.85E-06
3/8/2020,Bronx,1,1,6.95E-07,0.0625,1.11E-05
3/9/2020,Queens,0,3,0,0,6.53E-06
3/9/2020,New York,7,12,4.29E-06,0.14893617,2.88E-05
3/9/2020,Kings,1,7,3.85E-07,0.032258065,1.19E-05
3/9/2020,Bronx,4,5,2.78E-06,0.129032258,2.16E-05
3/10/2020,Queens,4,7,1.74E-06,0.222222222,7.83E-06
3/10/2020,New York,12,24,7.35E-06,0.153846154,4.78E-05
3/10/2020,Kings,7,14,2.69E-06,0.24137931,1.12E-05
3/10/2020,Bronx,0,5,0,0,3.27E-05
3/11/2020,Queens,5,12,2.18E-06,0.113636364,1.91E-05
3/11/2020,New York,3,27,1.84E-06,0.042857143,4.29E-05
3/11/2020,Kings,2,16,7.69E-07,0.083333333,9.23E-06
3/11/2020,Bronx,2,7,1.39E-06,0.064516129,2.16E-05
3/12/2020,Queens,15,27,6.53E-06,0.202702703,3.22E-05
3/12/2020,New York,18,45,1.10E-05,0.096774194,0.000113937
3/12/2020,Kings,8,24,3.08E-06,0.13559322,2.27E-05
3/12/2020,Bronx,3,10,2.09E-06,0.083333333,2.50E-05
3/13/2020,Queens,30,57,1.31E-05,0.194805195,6.70E-05
3/13/2020,New York,39,84,2.39E-05,0.145522388,0.000164167
3/13/2020,Kings,17,41,6.54E-06,0.125,5.23E-05
3/13/2020,Bronx,10,20,6.95E-06,0.101010101,6.89E-05
3/14/2020,Queens,18,75,7.83E-06,0.163636364,4.79E-05
3/14/2020,New York,28,112,1.72E-05,0.14507772,0.000118225
3/14/2020,Kings,17,58,6.54E-06,0.171717172,3.81E-05
3/14/2020,Bronx,8,28,5.56E-06,0.1,5.56E-05
3/15/2020,Queens,49,124,2.13E-05,0.247474747,8.61E-05
3/15/2020,New York,60,172,3.68E-05,0.189274448,0.000194183
3/15/2020,Kings,26,84,1.00E-05,0.156626506,6.38E-05
3/15/2020,Bronx,29,57,2.02E-05,0.25,8.07E-05
3/16/2020,Queens,38,162,1.65E-05,0.279411765,5.92E-05
3/16/2020,New York,69,241,4.23E-05,0.173366834,0.000243801
3/16/2020,Kings,39,123,1.50E-05,0.228070175,6.58E-05
3/16/2020,Bronx,29,86,2.02E-05,0.19205298,0.000105016
3/17/2020,Queens,123,285,5.35E-05,0.331536388,0.000161409
3/17/2020,New York,161,402,9.86E-05,0.269230769,0.000366314
3/17/2020,Kings,264,387,0.000101509,0.356275304,0.000284918
3/17/2020,Bronx,123,209,8.55E-05,0.284064665,0.000301139
3/18/2020,Queens,336,621,0.000146181,0.4375,0.000334129
3/18/2020,New York,335,737,0.000205209,0.311918063,0.000657895
3/18/2020,Kings,273,660,0.00010497,0.343396226,0.000305681
3/18/2020,Bronx,154,363,0.000107103,0.257956449,0.000415197
3/19/2020,Queens,519,1140,0.000225798,0.440203562,0.00051294
3/19/2020,New York,437,1174,0.000267691,0.353846154,0.000756518
3/19/2020,Kings,674,1334,0.000259156,0.433998712,0.000597136
3/19/2020,Bronx,191,554,0.000132835,0.315702479,0.000420761
3/20/2020,Queens,491,1631,0.000213616,0.403119869,0.000529908
3/20/2020,New York,370,1544,0.000226649,0.292953286,0.00077367
3/20/2020,Kings,538,1872,0.000206864,0.3904209,0.000529848
3/20/2020,Bronx,297,851,0.000206555,0.335972851,0.000614797
3/21/2020,Queens,843,2474,0.000366759,0.437467566,0.000838368
3/21/2020,New York,522,2066,0.000319759,0.381021898,0.000839214
3/21/2020,Kings,893,2765,0.000343363,0.460072128,0.000746324
3/21/2020,Bronx,367,1218,0.000255238,0.351532567,0.000726073
3/22/2020,Queens,1152,3626,0.000501194,0.5625,0.000891011
3/22/2020,New York,607,2673,0.000371827,0.44403804,0.000837376
3/22/2020,Kings,702,3467,0.000269922,0.466135458,0.000579064
3/22/2020,Bronx,606,1824,0.000421456,0.47492163,0.000887423
3/23/2020,Queens,839,4465,0.000365019,0.552700922,0.000660427
3/23/2020,New York,405,3078,0.000248089,0.409090909,0.000606439
3/23/2020,Kings,700,4167,0.000269153,0.492264416,0.000546766
3/23/2020,Bronx,455,2279,0.00031644,0.469072165,0.000674608
3/24/2020,Queens,1010,5475,0.000439415,0.581797235,0.000755271
3/24/2020,New York,442,3520,0.000270754,0.415023474,0.000652382
3/24/2020,Kings,779,4946,0.000299529,0.528493894,0.00056676
3/24/2020,Bronx,611,2890,0.000424934,0.514309764,0.000826221
3/25/2020,Queens,1238,6713,0.000538609,0.586729858,0.000917985
3/25/2020,New York,542,4062,0.00033201,0.439935065,0.00075468
3/25/2020,Kings,755,5701,0.000290301,0.487096774,0.000595983
3/25/2020,Bronx,838,3728,0.000582806,0.473446328,0.001230986
3/26/2020,Queens,1324,8037,0.000576025,0.626004728,0.00092016
3/26/2020,New York,523,4585,0.000320371,0.492467043,0.000650544
3/26/2020,Kings,1106,6807,0.000425262,0.580577428,0.000732482
3/26/2020,Bronx,829,4557,0.000576546,0.580532213,0.000993134
3/27/2020,Queens,1238,9275,0.000538609,0.60243309,0.000894056
3/27/2020,New York,631,5216,0.000386528,0.48021309,0.00080491
3/27/2020,Kings,1238,8045,0.000476017,0.549245785,0.000866674
3/27/2020,Bronx,846,5403,0.000588369,0.572395129,0.001027908
3/28/2020,Queens,1136,10411,0.000494233,0.615718157,0.000802693
3/28/2020,New York,590,5806,0.000361413,0.50862069,0.000710575
3/28/2020,Kings,973,9018,0.000374123,0.543575419,0.000688264
3/28/2020,Bronx,901,6304,0.00062662,0.589274035,0.001063377
3/29/2020,Queens,1258,11669,0.00054731,0.65691906,0.000833147
3/29/2020,New York,422,6228,0.000258502,0.535532995,0.000482701
3/29/2020,Kings,1011,10029,0.000388734,0.62138906,0.000625589
3/29/2020,Bronx,658,6962,0.000457621,0.567241379,0.000806748
3/30/2020,Queens,2022,13691,0.000879699,0.608120301,0.001446587
3/30/2020,New York,648,6876,0.000396942,0.455696203,0.000871067
3/30/2020,Kings,1888,11917,0.000725945,0.606488917,0.001196964
3/30/2020,Bronx,804,7766,0.00055916,0.599552573,0.000932628
3/31/2020,Queens,1211,14902,0.000526862,0.647247461,0.000814005
3/31/2020,New York,497,7373,0.000304445,0.489655172,0.000621753
3/31/2020,Kings,1198,13115,0.000460637,0.595723521,0.000773239
3/31/2020,Bronx,1095,8861,0.000761542,0.602310231,0.001264368
4/1/2020,Queens,1366,16268,0.000594297,0.633286973,0.000938433
4/1/2020,New York,470,7843,0.000287906,0.469061876,0.00061379
4/1/2020,Kings,1189,14304,0.000457176,0.58255757,0.000784775
4/1/2020,Bronx,1066,9927,0.000741373,0.607753706,0.001219858
4/2/2020,Queens,1899,18167,0.000826186,0.623031496,0.001326075
4/2/2020,New York,609,8452,0.000373052,0.470633694,0.000792659
