ZCTA,long,lat,Feb_29,March_7,March_14,March_21,April_11
10024,-73.98814,40.781409,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.972899,40.803383,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.964167,40.81579,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.962067,40.818099,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.960687,40.817511,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.961276,40.816607,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.961398,40.815146,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.964019,40.811331,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.964424,40.810755,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.9659,40.808806,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.966518,40.808226,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.970273,40.80236,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.973736,40.798608,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.974256,40.796588,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.976795,40.794315,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.977092,40.792724,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.96701,40.788476,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.974067,40.778805,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.977562,40.780909,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.981064,40.781751,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.982126,40.783027,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.984452,40.783192,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.985679,40.780313,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.986544,40.780658,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.987308,40.781041,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
10024,-73.98814,40.781409,-0.348955112,-8.843265948,-30.70342433,-38.3502668,-40.47075041
11221,-73.948185,40.690242,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.945349,40.690567,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.945642,40.692033,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.939971,40.692683,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.937195,40.693752,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.934134,40.693355,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.934797,40.696737,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.935222,40.696986,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.930262,40.698529,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.927797,40.699585,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.929035,40.70029,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.927588,40.701762,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.917818,40.696208,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.916368,40.69768,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.913361,40.69597,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.911806,40.697554,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.910303,40.6967,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.91186,40.695115,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.908853,40.693405,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.916046,40.686072,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.918046,40.687213,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.917996,40.686965,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.918065,40.686608,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.932235,40.684907,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.938223,40.683894,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.943962,40.683601,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.945056,40.689102,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.947893,40.688776,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
11221,-73.948185,40.690242,-0.290747443,-3.763007745,-28.64288067,-39.2587237,-42.86256744
10012,-74.00373,40.72625,-0.688509088,-7.758634506,-27.40748116,-32.78967669,-33.66107101
10012,-74.003155,40.727664,-0.688509088,-7.758634506,-27.40748116,-32.78967669,-33.66107101
10012,-74.000954,40.731706,-0.688509088,-7.758634506,-27.40748116,-32.78967669,-33.66107101
10012,-73.999604,40.731043,-0.688509088,-7.758634506,-27.40748116,-32.78967669,-33.66107101
10012,-73.993147,40.727867,-0.688509088,-7.758634506,-27.40748116,-32.78967669,-33.66107101
10012,-73.991794,40.726391,-0.688509088,-7.758634506,-27.40748116,-32.78967669,-33.66107101
10012,-73.992604,40.724136,-0.688509088,-7.758634506,-27.40748116,-32.78967669,-33.66107101
10012,-73.994035,40.720323,-0.688509088,-7.758634506,-27.40748116,-32.78967669,-33.66107101
10012,-73.994969,40.720627,-0.688509088,-7.758634506,-27.40748116,-32.78967669,-33.66107101
10012,-73.99526,40.719867,-0.688509088,-7.758634506,-27.40748116,-32.78967669,-33.66107101
10012,-74.004575,40.724173,-0.688509088,-7.758634506,-27.40748116,-32.78967669,-33.66107101
10012,-74.00373,40.72625,-0.688509088,-7.758634506,-27.40748116,-32.78967669,-33.66107101
11222,-73.962478,40.736802,0.674984294,-4.56812826,-25.55339335,-32.19332674,-33.98252669
11222,-73.95706,40.739167,0.674984294,-4.56812826,-25.55339335,-32.19332674,-33.98252669
11222,-73.953907,40.739421,0.674984294,-4.56812826,-25.55339335,-32.19332674,-33.98252669
11222,-73.95254,40.739228,0.674984294,-4.56812826,-25.55339335,-32.19332674,-33.98252669
11222,-73.947064,40.737516,0.674984294,-4.56812826,-25.55339335,-32.19332674,-33.98252669
11222,-73.942163,40.735678,0.674984294,-4.56812826,-25.55339335,-32.19332674,-33.98252669
11222,-73.940318,40.733195,0.674984294,-4.56812826,-25.55339335,-32.19332674,-33.98252669
11222,-73.93966,40.731487,0.674984294,-4.56812826,-25.55339335,-32.19332674,-33.98252669
